productID,type,title,author/artist,numInStock,price
0,book,fahrenheit 451,ray bradbury,8,9.99
1,book,to kill a mockingbird,harper lee,96,12.99
2,book,brave new world,aldous huxley,10,19.0
3,book,charlotte's web,e.b. white,6,8.99
4,book,hitchhiker's guide to the galaxy,douglas adams,3,9.99
5,book,catch-22,joseph heller,19,11.99
6,book,flowers for algernon,daniel keyes,7,6.99
7,cd,a night at the opera,queen,14,6.99
8,cd,cuz I love you,lizzo,7,7.99
9,cd,a hard day's night,the beatles,3,3.99
10,dvd,the dark knight,n/a,5,12.99
11,dvd,jurassic park,n/a ,6,7.99
12,dvd,Indiana Jones,No idea,3,12.99
13,book,Lucid,No Idea,5,10.99
14,cd,Forever 21,Taylor Swift,3,15.99
15,cd,Batman and Robin,Laura Terbrug,42,8.08
16,book,Harum Scarum,Shane Renfield,47,7.64
17,dvd,Terminal Velocity,Noak Louis,5,11.56
18,dvd,You Can Count on Me,Dorice Girke,21,19.64
19,book,White Man's Burden,Yulma Hamor,34,16.56
20,cd,Something in the Wind,Theodore Stiegar,23,27.41
21,cd,Root of All Evil?,Stearne Magne,14,17.48
22,dvd,Class of Nuke 'Em High,Tiphani Jacobssen,40,29.31
23,dvd,For Love and Gold (L'armata Brancaleone),Beverlie De Goey,9,25.64
24,book,Shaka Zulu: The Citadel,Rycca Whebell,38,18.07
25,cd,112 Weddings,Tildi Clapp,33,12.14
26,book,Enough Said,Pattie Lidgely,17,9.28
27,book,American Beauty,Steffi Candelin,30,14.66
28,book,Mercury Rising,Onfre Maxsted,33,13.73
29,book,Taxidermia,Hildegaard Wigmore,35,29.92
30,book,Knowing,Brooks Guerin,43,26.42
31,book,Amateurs The (Moguls The),Berny Wilder,30,20.26
32,cd,Chapter Two,Doralyn Davidai,35,27.65
33,dvd,HOUBA! On the Trail of the Marsupilami (Sur la piste du Marsupilami),Fayette Love,14,16.06
34,book,Bears,Tamar Hinners,40,25.35
35,dvd,Are We Done Yet?,Vince Blowes,10,19.74
36,book,Whales of August The,Townsend Erasmus,48,9.98
37,cd,Small Circle of Friends A,Darrin Littler,27,11.61
38,cd,Afterwards,Harvey Arnott,1,26.03
39,dvd,The Gruffalo's Child,Eada Curr,37,12.59
40,book,Samurai Rebellion (Jôi-uchi: Hairyô tsuma shimatsu),Davidde Gilfillan,25,23.17
41,cd,I Will Buy You (Anata kaimasu),Karlik Rew,24,29.37
42,cd,Junior,Lizette Cuppitt,40,29.11
43,book,Twilight Saga: Breaking Dawn - Part 1 The,Gothart Torpie,28,20.9
44,book,Aziz Ansari: Buried Alive,Bryce Whyborne,25,29.55
45,dvd,Tale from the Past A (Përralle Nga e Kaluara),Antony Quartermaine,36,22.65
46,book,Stage Fright,Kristian Steger,27,7.63
47,book,Margaret's Museum,Leonardo Shildrake,47,12.66
48,cd,Shocker,Genvieve Crickmoor,30,27.3
49,cd,Carnages (a.k.a. Carnage),Kristan Nairn,27,14.97
50,dvd,Song of the Sea,Hakeem Willcot,26,12.03
51,cd,Mimic 2,Cristin Stollen,31,20.41
52,book,Prison,Wang O'Growgane,20,25.23
53,cd,Blue Is the Warmest Color (La vie d'Adèle),Sarena Catt,14,8.95
54,cd,Adventures of Sebastian Cole The,Dulcea Nanninini,18,9.91
55,cd,Symmetry (Symetria),Bank Monck,36,24.9
56,cd,South Park: Imaginationland,Jecho Finnan,13,15.79
57,dvd,Blue Steel,Eva Wyllcock,43,23.92
58,dvd,Matrix Revolutions The,Dynah Ettritch,31,23.42
59,cd,Dickie Roberts: Former Child Star,Trixi Gasker,21,29.22
60,cd,Trial of the Road (Check-up on the Roads) (Checkpoint) (Proverka na dorogakh),Eirena Feveryear,2,24.32
61,cd,44 Inch Chest,Philly Maides,31,16.06
62,book,Naked in New York,Pepe Kohlert,13,23.08
63,cd,National Lampoon's Lady Killers (National Lampoon's Gold Diggers),Imojean Neenan,14,20.06
64,dvd,Exodus: Gods and Kings,Tait Mowlam,37,16.36
65,book,Nob Hill,Tadd Slocket,47,28.63
66,cd,Remember the Daze (Beautiful Ordinary The),Uta Sturte,47,15.93
67,dvd,Green Tea (Lü cha),Dotty Livezey,37,15.35
68,cd,Born to Raise Hell,Myrtle Sedgemond,28,13.32
69,book,Man Push Cart,Karen Skettles,37,11.48
70,cd,Nightmare on Elm Street 5: The Dream Child A,Tabbatha Lavelle,22,28.55
71,dvd,Mission: Impossible - Ghost Protocol,Hube Chittenden,37,29.6
72,book,Sweetest Thing The,Cathie Fanshaw,21,28.13
73,dvd,Teacher's Pet,Adrea Really,20,18.64
74,dvd,Dead Heat on a Merry-Go-Round,Zolly Handaside,45,23.9
75,dvd,Snow White,Kissie Ritelli,23,12.03
76,cd,Little Rascals The,Evin Graysmark,35,27.55
77,cd,Revolt in the Fifth Dimension,Monro Cornilleau,42,17.49
78,cd,The Castle of Fu Manchu,Winifield Crust,1,21.23
79,cd,Nightmaster (Watch the Shadows Dance),Linc Elldred,30,15.39
80,dvd,Adjust Your Tracking,Lorain Troop,24,19.89
81,book,Freakin' Beautiful World (Sairaan kaunis maailma),Terese Puckrin,12,23.34
82,cd,Casper,Mommy Kibbel,7,23.2
83,book,I Love You Too (Ik ook Van Jou),Helyn Strongman,17,12.91
84,book,Ivan the Terrible Part Two (Ivan Groznyy II: Boyarsky zagovor),Wynny Stripling,29,8.67
85,book,Annie,Karlan Mcettrick,4,8.91
86,book,Wishful Drinking,Ulrika Fifoot,30,12.7
87,cd,Barnyard: The Original Party Animals,Ellene Tunbridge,1,18.0
88,dvd,Three Musketeers The,Kaitlin Shelford,27,22.64
89,dvd,Pelicanman (Pelikaanimies),Evelina Golton,33,12.28
90,cd,Three Resurrected Drunkards (Kaette kita yopparai),Mollie Grouer,33,20.3
91,dvd,Bling Ring The,Georg Dericot,17,22.72
92,book,Three Men and a Little Lady,Bearnard Quade,37,14.56
93,dvd,Mahabharata The,Dniren Birbeck,12,11.24
94,dvd,Berlin Express,Reinhold Treversh,24,13.63
95,cd,Daisies (Sedmikrasky),Opal Geeritz,27,25.55
96,dvd,Mugabe and the White African,Ediva Yukhov,7,7.86
97,cd,Instinct,Gabby Gecks,48,11.37
98,cd,Monsieur Vincent,Tamarah Stow,4,12.18
99,book,Inn in Tokyo An (Tôkyô no yado),Niven Styan,43,18.7
100,dvd,Tobruk,Aidan Spino,28,22.93
101,cd,Serious Man A,Aldrich Moran,29,10.6
102,cd,Guns of the Magnificent Seven,Mamie Artus,12,17.99
103,book,Mind Game,Caren Burbridge,35,7.36
104,cd,Come Sweet Death (Komm süsser Tod),Freddi Bremmer,46,14.95
105,book,Death on the Nile,Helyn Skryne,28,21.21
106,book,Betsy's Wedding,Aristotle Klyner,29,25.59
107,dvd,Falling Up,Rory Layburn,14,18.52
108,book,Crucified Lovers The (Chikamatsu monogatari),Norma Sime,24,7.22
109,book,No Good Deed,Gonzalo Roset,5,25.14
110,book,Money Matters ,Rusty Toulamain,12,24.5
111,book,Al otro lado,Kimberli Mellers,35,28.24
112,dvd,Spend It All,Vitia Farron,49,11.87
113,book,Nelly & Monsieur Arnaud,Shani Turmell,36,23.82
